ID;address;city;postalCode;country;traveller_ID
be028ea2-29dc-43f7-9394-4cb487f4544e;12 Rue de Rivoli;Paris;75001;France;287bdd09-a645-402a-8cdd-da62a3d796bf
138b620b-4262-44b4-a3f0-2cc44225f7cd;Sheikh Zayed Road;Dubai;00000;United Arab Emirates;287bdd09-a645-402a-8cdd-da62a3d796bf
5ec80e42-4334-4053-9b12-379514f34fc7;350 5th Avenue;New York;10118;United States;4687bbbd-e9e0-499c-ac29-b92fab56a638
a6ae4513-d277-4744-87ab-d5f22e6b2da4;5 Avenue Anatole France;Paris;75007;France;4687bbbd-e9e0-499c-ac29-b92fab56a638
3cf70cff-b748-4ed9-9b8b-00a665208098;Via del Corso 12;Rome;00186;Italy;34ff066f-cef0-4c16-b67e-cc679fae14d0
af390c7d-4090-4e3b-b4db-b2a87d8517f0;1 Raffles Place;Singapore;048616;Singapore;34ff066f-cef0-4c16-b67e-cc679fae14d0
373eb14c-657f-4e0b-bda7-5c8b6806b638;1-1 Chiyoda;Tokyo;100-0001;Japan;46c96eae-1857-4af3-a6f3-ad4a18852708
f5adf4d1-ba37-4cd9-9b08-b67b9534d73b;999 Rama I Road;Bangkok;10330;Thailand;46c96eae-1857-4af3-a6f3-ad4a18852708
6cb9ef0b-49f2-451a-98d8-48d1259e0a34;Jalan Pantai Kuta;Bali;80361;Indonesia;02257338-563f-49e8-b6ff-81a288e24c38
af1ed04d-23e3-41d4-a35e-3eeb8482f814;1 Macquarie Street;Sydney;2000;Australia;02257338-563f-49e8-b6ff-81a288e24c38
d4e13cdb-e9e7-438e-995c-1fb53327a4d7;10 Whitehall, Westminster;London;SW1A2AA;United Kingdom;615bfcf1-ab20-4c52-a8e2-514ba32e3ecd
6498ab73-9cec-400a-8c03-e8c109a6f80a;Burj Khalifa Boulevard;Dubai;00000;United Arab Emirates;de5978b5-579f-4676-860b-432c1e884140
9d0f40b9-bff6-4ce7-8fa0-56697822a162;Shibuya Crossing 2-1;Tokyo;150-0043;Japan;d0047ac5-30ae-449c-8142-a16d77f92111
e7b623b9-8a3a-4f78-b8f8-d9c669d80e92;Jalan Sunset Road;Bali;80361;Indonesia;499b0972-b8ee-4443-9bd3-31291960f71b
2531a173-a79b-498f-9eee-c33446186cae;Piazza Navona 5;Rome;00186;Italy;58cfa1ba-644c-4688-9761-bca139a90357
